indicator,level,name,sex,race_eth,median_earnings,median_earnings_se,median_earnings_low,median_earnings_upp
by_race_x_sex,puma,0900300,female,other_race,40000,11403.120470951382,37092,83736
by_race_x_sex,puma,0900301,male,white,65705,3014.113963550687,60000,71842
by_race_x_sex,puma,0900301,female,white,62802,1915.0308859839183,57474,65000
by_race_x_sex,puma,0900301,male,black,44211,4131.262907161359,40000,56368
by_race_x_sex,puma,0900301,female,black,46421,3469.504688753058,40271,54000
by_race_x_sex,puma,0900301,male,latino,44211,3121.8517084012074,40000,52335
by_race_x_sex,puma,0900301,female,latino,40000,4117.930829647879,35000,51288
by_race_x_sex,puma,0900301,male,api,80595,4919.262244026249,66765,86317
by_race_x_sex,puma,0900301,female,api,94203,9484.27439295276,94000,132470
by_race_x_sex,puma,0900301,male,other_race,63586,13474.616172158905,39000,94203
by_race_x_sex,puma,0900301,female,other_race,52000,14420.706017032555,24600,84000
by_race_x_sex,puma,0900302,male,white,68884,6257.035320236588,55108,79843
by_race_x_sex,puma,0900302,female,white,64895,4750.314243603847,51928,70737
by_race_x_sex,puma,0900302,male,black,42390,1994.0197424557748,41331,49195
by_race_x_sex,puma,0900302,female,black,41000,2870.1845133300744,34263,45570
by_race_x_sex,puma,0900302,male,latino,37579,2336.6222936315453,32657,41868
by_race_x_sex,puma,0900302,female,latino,31793,1231.4761077286423,29673,34527
by_race_x_sex,puma,0900302,male,api,91737,11158.619053823097,59662,104669
by_race_x_sex,puma,0900302,female,api,44763,13982.884406026744,29842,88000
by_race_x_sex,puma,0900302,male,other_race,36032,8653.735219031823,21725,58615
by_race_x_sex,puma,0900302,female,other_race,62580,21167.372776430035,27632,116574
by_race_x_sex,puma,0900303,male,white,104669,2333.514217264246,100000,109155
by_race_x_sex,puma,0900303,female,white,80922,2158.90051956248,75527,84000
by_race_x_sex,puma,0900303,male,black,62802,6133.779767300069,55475,79843
by_race_x_sex,puma,0900303,female,black,56000,5353.607117869713,46629,67825
by_race_x_sex,puma,0900303,male,latino,58579,6027.818677003725,51079,75000
by_race_x_sex,puma,0900303,female,latino,46421,3927.0677647117545,41868,57474
by_race_x_sex,puma,0900303,male,api,109903,8990.309263419598,93947,129475
by_race_x_sex,puma,0900303,female,api,87000,8728.351712570839,70133,104669
by_race_x_sex,puma,0900303,male,other_race,80922,17289.12314801653,50000,120000
by_race_x_sex,puma,0900303,female,other_race,67421,11991.45710160059,55263,103857
by_race_x_sex,puma,0900304,male,white,75158,2748.62440952044,70133,80922
by_race_x_sex,puma,0900304,female,white,62802,2126.9024100123806,59684,68035
by_race_x_sex,puma,0900304,male,black,52988,6457.4046899001305,50869,77368
by_race_x_sex,puma,0900304,female,black,44777,8787.253568166707,37911,74183
by_race_x_sex,puma,0900304,male,latino,49737,4693.469520256406,38684,57474
by_race_x_sex,puma,0900304,female,latino,43105,5184.977899719007,39679,60422
by_race_x_sex,puma,0900304,male,api,56167,20803.590253065162,36000,121873
by_race_x_sex,puma,0900304,female,api,62802,18266.955940060277,33912,109155
by_race_x_sex,puma,0900304,male,other_race,60708,17621.09477834516,47689,120000
by_race_x_sex,puma,0900304,female,other_race,38787,23080.30237097647,37681,136070
by_race_x_sex,puma,0900305,male,white,64738,3366.2889335811683,58615,71842
by_race_x_sex,puma,0900305,female,white,57000,2426.469016891442,52988,62526
by_race_x_sex,puma,0900305,male,black,47400,2883.6680937414963,42390,53948
by_race_x_sex,puma,0900305,female,black,35700,7329.526133037338,28000,57474
by_race_x_sex,puma,0900305,male,latino,41868,3021.2691338908144,38843,50765
by_race_x_sex,puma,0900305,female,latino,35479,1012.0262577286304,34000,38000
by_race_x_sex,puma,0900305,male,api,67975,10391.16489877967,50000,92109
by_race_x_sex,puma,0900305,female,api,40000,6665.3066737446525,37092,64738
by_race_x_sex,puma,0900305,male,other_race,53948,82591.52063903995,45008,418678
by_race_x_sex,puma,0900305,female,other_race,56167,15580.962043988377,40000,107896
by_race_x_sex,puma,0900306,male,white,89554,2344.6585636887926,85000,94203
by_race_x_sex,puma,0900306,female,white,78502,2432.844786647695,74183,83736
by_race_x_sex,puma,0900306,male,black,79482,24200.887163544725,59343,160000
by_race_x_sex,puma,0900306,female,black,69632,8098.488563608331,52335,85841
by_race_x_sex,puma,0900306,male,latino,66316,7723.880718534786,52988,83736
by_race_x_sex,puma,0900306,female,latino,52335,5972.123998542568,45000,68884
by_race_x_sex,puma,0900306,male,api,109421,6034.612840062237,95378,119323
by_race_x_sex,puma,0900306,female,api,75243,11765.396558973776,53381,100483
by_race_x_sex,puma,0900306,male,other_race,87000,13179.446911678053,52335,107000
by_race_x_sex,puma,0900306,female,other_race,94949,15361.035673575816,90633,157004
by_race_x_sex,puma,0900500,male,white,70000,2213.8816129221873,66316,75000
by_race_x_sex,puma,0900500,female,white,55816,1706.6631673978766,52988,59684
by_race_x_sex,puma,0900500,male,black,48632,10608.819697905665,39126,82661
by_race_x_sex,puma,0900500,female,black,59343,14395.220572269323,55263,115136
by_race_x_sex,puma,0900500,male,latino,57185,6447.447476800888,48553,74183
by_race_x_sex,puma,0900500,female,latino,47206,5549.355826092264,38684,60789
by_race_x_sex,puma,0900500,male,api,100000,35590.658884082186,53948,200000
by_race_x_sex,puma,0900500,female,api,55475,15563.26487996707,52988,117230
by_race_x_sex,puma,0900500,male,other_race,75527,19497.407438255017,47101,126112
by_race_x_sex,puma,0900500,female,other_race,58000,6636.504583067107,53948,80922
by_race_x_sex,puma,0900700,male,white,78422,1669.9551629554176,74448,81000
by_race_x_sex,puma,0900700,female,white,69054,2406.5223484976577,64738,74183
by_race_x_sex,puma,0900700,male,black,44211,12679.50312902837,34527,86317
by_race_x_sex,puma,0900700,female,black,46395,8514.891317489017,30200,64738
by_race_x_sex,puma,0900700,male,latino,53948,5828.132126975287,43000,66316
by_race_x_sex,puma,0900700,female,latino,50000,7963.893887543568,39922,71842
by_race_x_sex,puma,0900700,male,api,73164,16102.639150929008,50000,115449
by_race_x_sex,puma,0900700,female,api,68035,13733.144528176816,38000,93947
by_race_x_sex,puma,0900700,male,other_race,60000,15486.291623036992,41500,104669
by_race_x_sex,puma,0900700,female,other_race,44510,8190.253281268837,36634,70000
by_race_x_sex,puma,0900900,male,white,82895,2133.477537367289,78502,86876
by_race_x_sex,puma,0900900,female,white,69054,1603.1281055763827,65705,72000
by_race_x_sex,puma,0900900,male,black,61895,15659.638005662746,41868,107000
by_race_x_sex,puma,0900900,female,black,49737,25105.862866015315,21579,126000
by_race_x_sex,puma,0900900,male,latino,63586,11398.17986248748,43158,88969
by_race_x_sex,puma,0900900,female,latino,57568,7440.187703546994,43450,73369
by_race_x_sex,puma,0900900,male,api,103580,15243.982630023536,75158,137117
by_race_x_sex,puma,0900900,female,api,75000,16126.750422862744,72222,137769
by_race_x_sex,puma,0900900,male,other_race,70000,14542.238820834242,44885,104669
by_race_x_sex,puma,0900900,female,other_race,33158,40940.00333480736,32448,209339
by_race_x_sex,puma,0900901,male,white,63586,3806.6921434497353,58287,73269
by_race_x_sex,puma,0900901,female,white,53274,3047.0855092654133,48000,60000
by_race_x_sex,puma,0900901,male,black,43158,2663.726219709822,40271,50869
by_race_x_sex,puma,0900901,female,black,41779,5559.791649699648,33158,55263
by_race_x_sex,puma,0900901,male,latino,44086,2770.1225936347205,39922,50869
by_race_x_sex,puma,0900901,female,latino,38000,2580.4186725134095,35368,45570
by_race_x_sex,puma,0900901,male,api,68526,17399.873448201408,38684,111275
by_race_x_sex,puma,0900901,female,api,49000,10151.629226168166,37764,82001
by_race_x_sex,puma,0900901,male,other_race,81789,NA,58287,NA
by_race_x_sex,puma,0900901,female,other_race,62000,9670.243292250207,37000,78000
by_race_x_sex,puma,0900902,male,white,74000,2161.0632742190787,68884,77368
by_race_x_sex,puma,0900902,female,white,60789,2092.2856872824505,56522,64738
by_race_x_sex,puma,0900902,male,black,48963,4483.939733107221,41889,60000
by_race_x_sex,puma,0900902,female,black,48853,2400.725958698148,43344,52988
by_race_x_sex,puma,0900902,male,latino,48553,2954.4337385579315,46611,58287
by_race_x_sex,puma,0900902,female,latino,40193,2653.3996991759777,35498,46000
by_race_x_sex,puma,0900902,male,api,97107,20594.212646822576,37092,120000
by_race_x_sex,puma,0900902,female,api,42390,8498.169313981878,37764,72064
by_race_x_sex,puma,0900902,male,other_race,59347,5003.681353790657,52246,73000
by_race_x_sex,puma,0900902,female,other_race,52988,9585.60827667294,48553,87960
by_race_x_sex,puma,0900903,male,white,83736,3487.2978274828847,76303,90000
by_race_x_sex,puma,0900903,female,white,63586,2060.3641832515,60789,68884
by_race_x_sex,puma,0900903,male,black,55000,5849.540104312909,50000,73269
by_race_x_sex,puma,0900903,female,black,58287,4553.778431757408,50842,68884
by_race_x_sex,puma,0900903,male,latino,49737,7698.091915283341,41447,72064
by_race_x_sex,puma,0900903,female,latino,42000,4496.7573485139255,36032,53948
by_race_x_sex,puma,0900903,male,api,77368,12021.791266108297,70129,118686
by_race_x_sex,puma,0900903,female,api,55000,15205.536821206995,43105,104669
by_race_x_sex,puma,0900903,male,other_race,79482,16185.432713326732,53826,121579
by_race_x_sex,puma,0900903,female,other_race,56522,15795.89529431361,42390,107211
by_race_x_sex,puma,0900904,male,white,80000,2491.674959176927,75000,84781
by_race_x_sex,puma,0900904,female,white,70133,2211.483290734434,66316,75000
by_race_x_sex,puma,0900904,male,black,69054,10587.104914011241,52869,95378
by_race_x_sex,puma,0900904,female,black,44300,6996.517909689263,35000,63000
by_race_x_sex,puma,0900904,male,latino,47689,5272.381165665037,41868,62802
by_race_x_sex,puma,0900904,female,latino,46421,6741.351563488405,33158,60000
by_race_x_sex,puma,0900904,male,api,97263,11825.642363350624,80000,127171
by_race_x_sex,puma,0900904,female,api,68884,13489.416070884885,56522,110526
by_race_x_sex,puma,0900904,male,other_race,51186,31387.762740355625,31832,170000
by_race_x_sex,puma,0900904,female,other_race,55263,15847.526716137421,34527,103000
by_race_x_sex,puma,0900905,male,white,70000,3867.0100336980927,60789,76000
by_race_x_sex,puma,0900905,female,white,62526,3297.251703891447,55000,67975
by_race_x_sex,puma,0900905,male,black,42390,3289.338344182481,37764,50765
by_race_x_sex,puma,0900905,female,black,44510,2621.333642082465,42000,52335
by_race_x_sex,puma,0900905,male,latino,40000,3308.105843736805,35921,49000
by_race_x_sex,puma,0900905,female,latino,40271,2473.88320882263,36000,45782
by_race_x_sex,puma,0900905,male,api,70000,7736.092104027216,55000,85829
by_race_x_sex,puma,0900905,female,api,68884,9870.60630996754,55263,95000
by_race_x_sex,puma,0900905,male,other_race,41972,6449.997538999333,35000,62000
by_race_x_sex,puma,0900905,female,other_race,71175,10406.023641408388,43158,86211
by_race_x_sex,puma,0900906,male,white,82000,1997.8703053733084,78474,86317
by_race_x_sex,puma,0900906,female,white,67975,2533.1019634126746,61895,71842
by_race_x_sex,puma,0900906,male,black,58287,13094.68871566925,38684,94203
by_race_x_sex,puma,0900906,female,black,42914,NA,42914,NA
by_race_x_sex,puma,0900906,male,latino,52335,7267.541086652569,46421,75527
by_race_x_sex,puma,0900906,female,latino,57568,4395.199052589013,49737,67421
by_race_x_sex,puma,0900906,male,api,132632,42722.46077921879,77368,251207
by_race_x_sex,puma,0900906,female,api,104669,16443.87471566767,49737,117000
by_race_x_sex,puma,0900906,male,other_race,71175,11035.154830085987,52000,98368
by_race_x_sex,puma,0900906,female,other_race,78000,30661.747024207973,62000,192000
by_race_x_sex,puma,0901100,male,white,76303,1715.0898246749045,73269,80000
by_race_x_sex,puma,0901100,female,white,52988,1748.6427310372173,51398,58264
by_race_x_sex,puma,0901100,male,black,47689,7073.25071679265,39211,67825
by_race_x_sex,puma,0901100,female,black,40271,15799.762381981875,31401,98389
by_race_x_sex,puma,0901100,male,latino,45000,2787.7539819053854,41868,52988
by_race_x_sex,puma,0901100,female,latino,42390,3564.758457297518,37700,52000
by_race_x_sex,puma,0901100,male,api,44211,1530.879197934669,42390,48553
by_race_x_sex,puma,0901100,female,api,38684,5570.501167371137,27214,49809
by_race_x_sex,puma,0901100,male,other_race,63848,16662.934295562383,46000,113043
by_race_x_sex,puma,0901100,female,other_race,55263,9530.5489317471,49632,88000
by_race_x_sex,puma,0901101,male,white,77368,2467.5827155487236,74053,83736
by_race_x_sex,puma,0901101,female,white,60000,2692.693268572824,54428,65000
by_race_x_sex,puma,0901101,male,black,53948,9462.085806318253,45000,82895
by_race_x_sex,puma,0901101,female,black,45008,8772.654395879268,44000,80000
by_race_x_sex,puma,0901101,male,latino,43961,4620.614316261358,39922,58287
by_race_x_sex,puma,0901101,female,latino,44211,3695.4409632814013,35000,49737
by_race_x_sex,puma,0901101,male,api,105000,10699.939793012027,82661,125603
by_race_x_sex,puma,0901101,female,api,84663,8118.105415216624,59343,92109
by_race_x_sex,puma,0901101,male,other_race,71842,7487.154360786126,52988,83080
by_race_x_sex,puma,0901101,female,other_race,55000,20513.933973890915,30000,113291
by_race_x_sex,puma,0901300,male,white,79482,2486.2920316792874,75243,85000
by_race_x_sex,puma,0901300,female,white,66316,1866.2938254766923,64738,72064
by_race_x_sex,puma,0901300,male,black,40821,13710.165048236895,33912,90080
by_race_x_sex,puma,0901300,female,black,38684,19186.09983042275,25121,105738
by_race_x_sex,puma,0901300,male,latino,55263,8147.841271102753,45000,77685
by_race_x_sex,puma,0901300,female,latino,47101,12811.784402069778,32111,84781
by_race_x_sex,puma,0901300,male,api,86317,8181.974890848933,67825,100677
by_race_x_sex,puma,0901300,female,api,75243,17163.042115000844,58615,130000
by_race_x_sex,puma,0901300,male,other_race,82895,14759.457796931609,40000,100677
by_race_x_sex,puma,0901300,female,other_race,50000,11029.761760536396,33158,78502
by_race_x_sex,puma,0901500,male,white,63586,1689.6870655060764,60789,67421
by_race_x_sex,puma,0901500,female,white,52721,1708.9045442429037,48553,55263
by_race_x_sex,puma,0901500,male,black,47689,NA,44171,NA
by_race_x_sex,puma,0901500,female,black,33494,NA,NA,NA
by_race_x_sex,puma,0901500,male,latino,38000,5208.809855862562,30000,50869
by_race_x_sex,puma,0901500,female,latino,37472,3226.940128847376,32045,45008
by_race_x_sex,puma,0901500,male,api,77368,NA,26167,NA
by_race_x_sex,puma,0901500,female,api,51811,19367.893429219177,30211,113291
by_race_x_sex,puma,0901500,male,other_race,79000,9856.647440862682,57000,97107
by_race_x_sex,puma,0901500,female,other_race,54428,13223.608829936913,35000,90000
